"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"4930592C13Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","4930592C13Rik"
"Lpar1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Lpar1"
"Gng10.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gng10"
"Frem1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Frem1"
"Gm12689.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm12689"
"Podn.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Podn"
"Zc3h12a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Zc3h12a"
"Gja4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gja4"
"Paqr7.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Paqr7"
"2700016F22Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","2700016F22Rik"
"Padi2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Padi2"
"Zfp993.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Zfp993"
"Cort.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cort"
"Tmem88b.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Tmem88b"
"Rnf223.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rnf223"
"Steap1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Steap1"
"Gm21847.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm21847"
"Cgref1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cgref1"
"Rbks.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rbks"
"Gm15614.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm15614"
"Gm7854.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm7854"
"Gm42984.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm42984"
"5830473C10Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","5830473C10Rik"
"Rasgef1b.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rasgef1b"
"Tmem150c.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Tmem150c"
"Cplx1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cplx1"
"Myo18b.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Myo18b"
"Gm14508.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm14508"
"Adgrd1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Adgrd1"
"Gm6598.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm6598"
"Ssc4d.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ssc4d"
"Gjc3.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gjc3"
