"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Taldo1.1",0.00117484702626275,0.106835157244095,1,1,1,"1","Taldo1"
"Arrb2.1",0.0011764496089805,0.311173759484966,0.553,0.445,1,"1","Arrb2"
"Nod1.1",0.00117893579956348,0.993346339664764,0.105,0.054,1,"1","Nod1"
"Zeb1.1",0.00118204874133272,-0.155789907741215,0.996,0.994,1,"1","Zeb1"
"Hoxd9.1",0.00118663919814647,-2.61952215762628,0.004,0.046,1,"1","Hoxd9"
"Mrpl50.1",0.00119194441930562,0.174123244064189,0.989,0.934,1,"1","Mrpl50"
"Klhl25.1",0.0011920285719526,0.42404163362817,0.481,0.388,1,"1","Klhl25"
"Lonrf1.1",0.0011922466071846,0.513597402817489,0.282,0.195,1,"1","Lonrf1"
"Arhgef28.1",0.0011935319580705,0.62806933740636,0.177,0.107,1,"1","Arhgef28"
"Ogt.1",0.00119848659230821,-0.248020475610856,0.944,0.942,1,"1","Ogt"
"Cpeb1.1",0.00119866652025498,-1.18656275035017,0.034,0.094,1,"1","Cpeb1"
"Foxp2.1",0.00119960502531059,0.843810898693349,0.184,0.115,1,"1","Foxp2"
"Ubap1.1",0.00120060369733482,0.254009841035811,0.718,0.624,1,"1","Ubap1"
"Foxm1.1",0.00121034664642659,0.360503142612458,0.481,0.375,1,"1","Foxm1"
"Gmpr2.1",0.00121094558119736,0.241224015970829,0.838,0.76,1,"1","Gmpr2"
"Cdkal1.1",0.00121240297729769,0.415753317121254,0.489,0.391,1,"1","Cdkal1"
"Tmem50b.1",0.00121258748724681,0.288921273572493,0.609,0.5,1,"1","Tmem50b"
"Glis3.1",0.00121586762813559,0.534461299947014,0.259,0.177,1,"1","Glis3"
"Ube2j2.1",0.00121720903174176,0.156244074213108,0.977,0.961,1,"1","Ube2j2"
"Xpo4.1",0.00121917082899516,0.286787759753075,0.658,0.535,1,"1","Xpo4"
"Cit.1",0.00122065349861038,0.470549536126822,0.474,0.375,1,"1","Cit"
"Ube2d3.1",0.00122417536410515,0.0942961194955529,1,1,1,"1","Ube2d3"
"Sox12.1",0.00122625831515992,0.256014005241305,0.861,0.79,1,"1","Sox12"
"Lrrc40.1",0.00122682956983554,0.387574976479395,0.553,0.46,1,"1","Lrrc40"
"Snrpa1.1",0.00122962088751315,0.149990497017979,0.992,0.982,1,"1","Snrpa1"
"Dpy30.1",0.00123690540503122,0.136551980558057,0.996,0.982,1,"1","Dpy30"
"Brix1.1",0.00123794121277185,0.160156381105192,0.977,0.969,1,"1","Brix1"
"Akr1b10.1",0.00124366198757687,-0.29455200564787,0.793,0.817,1,"1","Akr1b10"
"Gdi1.1",0.00124676050592605,0.180719839269535,0.887,0.808,1,"1","Gdi1"
"4933415A04Rik.1",0.00124904571133854,0.771726997764993,0.169,0.103,1,"1","4933415A04Rik"
"Tnfrsf22.1",0.00125039434672155,0.582824321508413,0.237,0.156,1,"1","Tnfrsf22"
"Gmfb.1",0.00125202557467525,-0.214326916163077,0.902,0.916,1,"1","Gmfb"
"Prmt2.1",0.00125245698140767,0.260896226621051,0.793,0.738,1,"1","Prmt2"
"Sorcs1.1",0.00125269491388765,-0.47730883730593,0.568,0.616,1,"1","Sorcs1"
"Raver2.1",0.00125291870962815,0.488246367753467,0.323,0.231,1,"1","Raver2"
"Coq7.1",0.00125546273918352,0.167477529690945,0.989,0.981,1,"1","Coq7"
"Epb41l1.1",0.00126367102675471,0.674231430668894,0.244,0.167,1,"1","Epb41l1"
"Polk.1",0.00126570864977002,0.478253058060201,0.398,0.307,1,"1","Polk"
"Cgnl1.1",0.00127147453190311,0.859304258407159,0.158,0.095,1,"1","Cgnl1"
"Dera.1",0.00127234796134694,0.165467376326611,0.929,0.871,1,"1","Dera"
"Ndrg1.1",0.00127513279624424,1.27672119378273,0.079,0.037,1,"1","Ndrg1"
"Vps51.1",0.00127569728740903,0.312243106621272,0.526,0.418,1,"1","Vps51"
"Ypel3.1",0.00127959917731022,-0.341776374242117,0.711,0.783,1,"1","Ypel3"
"Snapc1.1",0.00128565888728249,0.457293439424555,0.436,0.347,1,"1","Snapc1"
"Zmynd19.1",0.00128625351471709,0.250800730765833,0.733,0.65,1,"1","Zmynd19"
"Oraov1.1",0.00128684860630066,0.552205086450022,0.289,0.205,1,"1","Oraov1"
"Tcf12.1",0.00129336268192107,-0.172744276427117,1,0.999,1,"1","Tcf12"
"Idh3g.1",0.00129437101389316,0.109466433452863,1,0.998,1,"1","Idh3g"
"Gstt3.1",0.00129478115349587,0.179181576829682,0.211,0.132,1,"1","Gstt3"
"Asap3.1",0.00129719739081562,0.946603701082025,0.113,0.06,1,"1","Asap3"
"Slit2.1",0.00129722386827667,-3.40895517168662,0,0.038,1,"1","Slit2"
"C2cd3.1",0.00129735886495575,0.270199681511143,0.553,0.438,1,"1","C2cd3"
"Nsmce4a.1",0.00129843593296927,0.205960345683039,0.974,0.961,1,"1","Nsmce4a"
"Lrr1.1",0.00129853450044814,0.629047338269059,0.286,0.203,1,"1","Lrr1"
"Atrx.1",0.00129914699955929,-0.122191277366145,0.992,0.997,1,"1","Atrx"
"Rnf187.1",0.00129994006742127,0.109361798678357,1,1,1,"1","Rnf187"
"Rnf130.1",0.00130380218718471,0.189813128559569,0.91,0.84,1,"1","Rnf130"
"Zfp994.1",0.00130486312528659,-1.03201297479477,0.075,0.147,1,"1","Zfp994"
"Esx1.1",0.00130681315878562,0.435170628526415,0.357,0.263,1,"1","Esx1"
"Creld1.1",0.00130820738758625,0.185005743101955,0.936,0.864,1,"1","Creld1"
"Chrdl1.1",0.00131021192522751,0.903191902408159,0.135,0.077,1,"1","Chrdl1"
"Ripk1.1",0.00131288772725151,0.382592566924962,0.545,0.46,1,"1","Ripk1"
"Impact.1",0.00131544657512197,0.225563153508771,0.726,0.609,1,"1","Impact"
"Ndst2.1",0.00131717376214056,0.414081372603256,0.425,0.33,1,"1","Ndst2"
"Galnt18.1",0.00132221496575737,0.14263857944937,0.812,0.682,1,"1","Galnt18"
"Snrnp40.1",0.00132253569709562,0.17594439932565,0.992,0.97,1,"1","Snrnp40"
"Ube2w.1",0.00132295066969155,0.211968295845006,0.831,0.767,1,"1","Ube2w"
"Sgta.1",0.00132450815489427,0.135210524014332,0.992,0.994,1,"1","Sgta"
"Kmt5c.1",0.00132548974005567,0.237042045007233,0.688,0.569,1,"1","Kmt5c"
"Hacl1.1",0.00133232191862534,0.679685860761002,0.226,0.149,1,"1","Hacl1"
"Gpn1.1",0.00133524561729745,0.24660728471533,0.774,0.701,1,"1","Gpn1"
"Ndufa12.1",0.00133639837604544,-0.0827199063288448,1,1,1,"1","Ndufa12"
"Smim8.1",0.00133932539900233,-0.244924365573428,0.865,0.869,1,"1","Smim8"
"Atp6v1e1.1",0.00134783320142178,0.130564358273371,0.996,0.995,1,"1","Atp6v1e1"
"Zfp592.1",0.00134794093334317,0.390826530666185,0.444,0.346,1,"1","Zfp592"
"Cnpy2.1",0.0013483748479415,-0.11642931019284,1,0.998,1,"1","Cnpy2"
"Clpx.1",0.00134980883366587,0.297187499012688,0.737,0.637,1,"1","Clpx"
"Taf15.1",0.00135082520963429,0.223972712338741,0.932,0.891,1,"1","Taf15"
"Cdh19.1",0.00135325297259794,0.919231913672427,0.117,0.063,1,"1","Cdh19"
"Paxip1.1",0.00135519458846137,0.294664489139676,0.602,0.484,1,"1","Paxip1"
"Tnfrsf12a.1",0.00135564376215347,-0.489767594659498,0.594,0.647,1,"1","Tnfrsf12a"
"2310022A10Rik.1",0.0013575062813216,0.303132237812096,0.504,0.387,1,"1","2310022A10Rik"
"Rfng.1",0.00135846727971357,-0.325539163498981,0.47,0.556,1,"1","Rfng"
"Eps15.1",0.00135860116417359,0.212222379885362,0.774,0.681,1,"1","Eps15"
"Rad51d.1",0.00135970271253794,0.253048364798366,0.571,0.443,1,"1","Rad51d"
"Rnf103.1",0.00136068179273122,0.312791034862149,0.594,0.488,1,"1","Rnf103"
"Vps25.1",0.00136326480504042,0.66970177218838,0.18,0.111,1,"1","Vps25"
"Eogt.1",0.00136717679167061,1.04572813205252,0.094,0.047,1,"1","Eogt"
"Slc25a46.1",0.00137137047041025,0.24772770999315,0.771,0.657,1,"1","Slc25a46"
"Tmem158.1",0.00137748408915318,0.209158478278996,0.91,0.878,1,"1","Tmem158"
"Ier3ip1.1",0.00137808740754283,0.0993427794526198,1,0.999,1,"1","Ier3ip1"
"Fam84b.1",0.00137962437058505,0.593215927355009,0.248,0.167,1,"1","Fam84b"
"Tm9sf1.1",0.0013805551538557,0.583569707751235,0.278,0.195,1,"1","Tm9sf1"
"Tcta.1",0.00138342076322251,0.467940683624063,0.323,0.232,1,"1","Tcta"
"Btbd7.1",0.00138421842513273,0.241286477553154,0.756,0.654,1,"1","Btbd7"
"Prodh.1",0.00138694719695909,0.459062532277611,0.323,0.23,1,"1","Prodh"
"Nars.1",0.00138740571368776,0.16168166059712,0.959,0.948,1,"1","Nars"
"Pbxip1.1",0.00138802926096933,-0.26515198262255,0.955,0.945,1,"1","Pbxip1"
"Ubxn2b.1",0.00138818491242979,0.329791307832119,0.519,0.415,1,"1","Ubxn2b"
"1600012H06Rik.1",0.00138888869178036,0.237859338202876,0.793,0.699,1,"1","1600012H06Rik"
"Pet100.1",0.00139065484632169,-0.255448914908825,0.85,0.873,1,"1","Pet100"
"Bivm.1",0.00139343003389401,0.479650070894151,0.293,0.204,1,"1","Bivm"
"Tob2.1",0.00140263763020393,0.389297543263734,0.444,0.337,1,"1","Tob2"
"Rnpep.1",0.00140546833158929,0.279447457041369,0.741,0.651,1,"1","Rnpep"
"Aspm.1",0.0014107947313727,0.497935423921901,0.41,0.32,1,"1","Aspm"
"Mri1.1",0.00141412241190959,0.238037691716023,0.688,0.57,1,"1","Mri1"
"Kif21b.1",0.00141472057888123,-0.380585541312328,0.391,0.476,1,"1","Kif21b"
"Lipe.1",0.0014148456040999,0.575937935923174,0.252,0.172,1,"1","Lipe"
"Msx1.1",0.00141590587331878,-3.3240662741001,0,0.037,1,"1","Msx1"
"Rpusd4.1",0.00141618645706506,0.354332968916024,0.511,0.408,1,"1","Rpusd4"
"Trmt13.1",0.00141793396603347,0.415189408334838,0.38,0.281,1,"1","Trmt13"
"Trappc13.1",0.0014227645260278,0.194866356285854,0.891,0.787,1,"1","Trappc13"
"Plpp7.1",0.00143355517546112,0.79349425782032,0.241,0.166,1,"1","Plpp7"
"Nomo1.1",0.00143826191469215,0.196233509756611,0.895,0.816,1,"1","Nomo1"
"Dmac1.1",0.00144198535247877,0.145867902743525,0.989,0.959,1,"1","Dmac1"
"Atp5a1.1",0.00144365020867403,0.0613406701910364,1,1,1,"1","Atp5a1"
"Ralgps2.1",0.00144400957179622,0.172691422481773,0.932,0.865,1,"1","Ralgps2"
"Prr11.1",0.00144753121560284,0.741287463893994,0.327,0.245,1,"1","Prr11"
"Nexn.1",0.0014488822760572,0.563721986213534,0.335,0.251,1,"1","Nexn"
"Actn4.1",0.00145152049189776,0.217827504729165,0.929,0.829,1,"1","Actn4"
"Svbp.1",0.00145227110091557,-0.16927500292578,0.97,0.983,1,"1","Svbp"
"Senp3.1",0.00145310565614632,0.303178569499652,0.744,0.675,1,"1","Senp3"
"Rcc1l.1",0.00145416154563941,0.321555400342289,0.564,0.46,1,"1","Rcc1l"
"Sp2.1",0.0014551676527318,0.412019359660114,0.425,0.33,1,"1","Sp2"
"Zmiz2.1",0.00147520196516775,0.218807796294292,0.82,0.722,1,"1","Zmiz2"
"Sf3a1.1",0.00147740698322813,0.202614849082165,0.898,0.857,1,"1","Sf3a1"
"Cops2.1",0.00148062831507779,0.144795990230044,0.996,0.978,1,"1","Cops2"
"AU020206.1",0.00148141351115225,0.263949550598605,0.504,0.379,1,"1","AU020206"
"Gatc.1",0.00148701807246998,0.346234181098495,0.594,0.494,1,"1","Gatc"
"Mecom.1",0.00148759016960565,0.897970759861498,0.132,0.074,1,"1","Mecom"
"Gphn.1",0.00149353825960609,-0.364472973019191,0.741,0.744,1,"1","Gphn"
"Abca5.1",0.00149436042358542,0.831749127926772,0.128,0.071,1,"1","Abca5"
"Gm26772.1",0.00149581056995539,2.72032784525835,0.019,0.003,1,"1","Gm26772"
"Zfp821.1",0.0014980863037217,0.29768081241838,0.613,0.528,1,"1","Zfp821"
"Edem1.1",0.00150288845039614,0.299715475511579,0.602,0.481,1,"1","Edem1"
"Cdca7l.1",0.00150914553944051,0.349731625334722,0.549,0.444,1,"1","Cdca7l"
"Tbc1d19.1",0.00150918406335129,0.298954389195505,0.579,0.463,1,"1","Tbc1d19"
"Mycn.1",0.00150954048390343,2.4979354239219,0.019,0.003,1,"1","Mycn"
"Ccdc94.1",0.00151086124258906,0.452676811354185,0.391,0.297,1,"1","Ccdc94"
"Abt1.1",0.00151473137247556,0.229205941449573,0.718,0.604,1,"1","Abt1"
"Hnrnpdl.1",0.00151756844958864,0.121553397395385,1,1,1,"1","Hnrnpdl"
"Ormdl2.1",0.00152239072561479,0.15158760884379,0.936,0.92,1,"1","Ormdl2"
"Slc8a2.1",0.00152252434218266,-1.11025938303697,0.075,0.145,1,"1","Slc8a2"
"Pigc.1",0.00152521757795426,0.28714765673751,0.617,0.519,1,"1","Pigc"
"Kif18b.1",0.00152782243259856,0.578619086265233,0.271,0.189,1,"1","Kif18b"
"Lsm2.1",0.00152944081724566,0.202381523730635,0.974,0.958,1,"1","Lsm2"
"Lasp1.1",0.0015385110537001,-0.225935139074102,0.925,0.936,1,"1","Lasp1"
"Map1lc3a.1",0.00154594845635479,-0.162022914038494,0.962,0.971,1,"1","Map1lc3a"
"Timm22.1",0.00154761983356944,0.149546960078125,0.962,0.943,1,"1","Timm22"
"Tead2.1",0.00154822205853438,0.132437634751016,1,0.995,1,"1","Tead2"
"Timm50.1",0.00154902979109075,0.168187824575239,0.962,0.949,1,"1","Timm50"
"Arntl.1",0.00155377444297468,0.588171886691782,0.263,0.183,1,"1","Arntl"
"Lman2l.1",0.00155581896888983,0.288416527415108,0.639,0.527,1,"1","Lman2l"
"Qsox1.1",0.0015606452793641,0.241763268046266,0.677,0.562,1,"1","Qsox1"
"Tmem135.1",0.0015625948423963,0.275861337767876,0.526,0.419,1,"1","Tmem135"
"Syne2.1",0.00156282149421417,0.221095218563076,0.602,0.482,1,"1","Syne2"
"Lrrc14.1",0.00156335932025524,0.284032725418986,0.613,0.514,1,"1","Lrrc14"
"Dusp6.1",0.00156383876956032,0.315168161953825,0.898,0.911,1,"1","Dusp6"
"Lmf2.1",0.00156507076066473,0.301474699637641,0.692,0.603,1,"1","Lmf2"
"Slc41a3.1",0.00158203483656153,0.4540477799209,0.248,0.166,1,"1","Slc41a3"
"Tfb1m.1",0.00158242844748378,0.637246103763794,0.286,0.207,1,"1","Tfb1m"
"Wbp1l.1",0.00158499401060906,0.249421687373585,0.684,0.577,1,"1","Wbp1l"
"Zfp961.1",0.00159550010190301,0.492842954670748,0.32,0.229,1,"1","Zfp961"
"Tmem216.1",0.00159680916192091,0.278165944936216,0.526,0.42,1,"1","Tmem216"
"Zfp59.1",0.00160362942440328,0.894357245033397,0.12,0.066,1,"1","Zfp59"
"Frmd8.1",0.00160464949503253,-0.303700464835313,0.835,0.849,1,"1","Frmd8"
"Ugcg.1",0.00160808988158832,0.355886323088338,0.549,0.443,1,"1","Ugcg"
"Cdc42ep4.1",0.00161333098356168,0.676606467829031,0.207,0.135,1,"1","Cdc42ep4"
"Mms19.1",0.00161432707312941,0.366145551366359,0.56,0.466,1,"1","Mms19"
"Cenpv.1",0.00161628997624995,-0.281372443731491,0.835,0.884,1,"1","Cenpv"
"Dhfr.1",0.00161782533489045,0.238113541196386,0.759,0.671,1,"1","Dhfr"
"Lrig1.1",0.00162118355740653,0.166575303925543,0.594,0.471,1,"1","Lrig1"
"Erp29.1",0.00162216030696822,0.0856303866773414,1,1,1,"1","Erp29"
"Sars2.1",0.00162664750422669,0.380477842373724,0.402,0.303,1,"1","Sars2"
"Mief2.1",0.0016311685629119,0.429737716903993,0.38,0.286,1,"1","Mief2"
"1810062O18Rik.1",0.00163857406231216,1.02845014062068,0.094,0.047,1,"1","1810062O18Rik"
"Slc41a2.1",0.00164164991748975,0.872330938703399,0.124,0.069,1,"1","Slc41a2"
"Pank2.1",0.00164474420261374,0.227157820456683,0.82,0.703,1,"1","Pank2"
"Zfp622.1",0.00164848769789043,0.207939946471322,0.835,0.749,1,"1","Zfp622"
"Cenpk.1",0.00164985010264464,0.203752319517442,0.564,0.445,1,"1","Cenpk"
"Pde12.1",0.00165134131469706,0.328010422479588,0.639,0.536,1,"1","Pde12"
"Klhdc2.1",0.00165314330903075,0.11417807007645,0.992,0.989,1,"1","Klhdc2"
"Cyfip1.1",0.00165451222660459,-0.22537007835788,0.925,0.929,1,"1","Cyfip1"
"Zfyve27.1",0.00165772982536096,0.391905988285486,0.414,0.315,1,"1","Zfyve27"
"Fam117a.1",0.00165880831651652,0.792477631014183,0.233,0.159,1,"1","Fam117a"
"Nat8f1.1",0.00165998523280069,0.213693705222152,0.609,0.495,1,"1","Nat8f1"
"Dad1.1",0.00166136785095503,-0.0864994570408939,1,1,1,"1","Dad1"
"Uqcc1.1",0.00166576813080325,0.257700887461244,0.68,0.579,1,"1","Uqcc1"
"Rsbn1l.1",0.00166598906303758,0.200163432934943,0.906,0.808,1,"1","Rsbn1l"
"Klhl42.1",0.00166891530431474,0.294063090556251,0.538,0.428,1,"1","Klhl42"
"Arl10.1",0.00167009576956638,0.758801993072984,0.184,0.117,1,"1","Arl10"
"Map3k5.1",0.00167043180617213,0.532198248438445,0.233,0.154,1,"1","Map3k5"
"Akap2.1",0.0016737651408205,0.482384420387385,0.38,0.286,1,"1","Akap2"
"Ccdc163.1",0.00167521181337734,0.492058857585231,0.312,0.224,1,"1","Ccdc163"
"Utp18.1",0.00168338984292591,0.233545738476096,0.662,0.55,1,"1","Utp18"
"Cep70.1",0.00168566740276999,0.521019037034942,0.301,0.217,1,"1","Cep70"
"Dek.1",0.00169125794768009,0.20377285741725,0.974,0.969,1,"1","Dek"
"Zbtb6.1",0.00170160050402725,0.430543385974707,0.372,0.277,1,"1","Zbtb6"
"Rdh14.1",0.00170581279730899,0.24959908896428,0.808,0.718,1,"1","Rdh14"
"Pbx4.1",0.00170996450320403,0.317122106336852,0.5,0.39,1,"1","Pbx4"
"Cars2.1",0.00171888661891728,0.317804099750776,0.654,0.564,1,"1","Cars2"
"Fas.1",0.00171993352824542,0.646327263814571,0.173,0.106,1,"1","Fas"
"Uqcrc2.1",0.00172667172893078,0.107115867733019,1,1,1,"1","Uqcrc2"
"Zbed4.1",0.00173388209749309,0.307449099997272,0.568,0.458,1,"1","Zbed4"
"Serhl.1",0.00173584434065445,0.54462049122203,0.271,0.19,1,"1","Serhl"
"Epor.1",0.00173820451678775,0.926778722725775,0.109,0.058,1,"1","Epor"
"Hist1h4d.1",0.00173925085579066,0.66329690022197,0.241,0.165,1,"1","Hist1h4d"
"Rnase4.1",0.00174171362143025,1.18599141760716,0.09,0.045,1,"1","Rnase4"
"Aldh16a1.1",0.00174198216409864,0.359647347074858,0.511,0.42,1,"1","Aldh16a1"
"Nhs.1",0.00174532415361415,0.470785675752668,0.244,0.164,1,"1","Nhs"
"Uqcc2.1",0.00174870359768853,0.0991629790058406,1,0.999,1,"1","Uqcc2"
"Cep57l1.1",0.00175298081772442,0.323747250687066,0.489,0.382,1,"1","Cep57l1"
"Fbxo6.1",0.0017533423134939,0.402226529911499,0.624,0.553,1,"1","Fbxo6"
"Ehbp1.1",0.00175687788005798,0.306607274451495,0.417,0.312,1,"1","Ehbp1"
"Hp1bp3.1",0.00175854030983631,0.205957312367246,0.951,0.904,1,"1","Hp1bp3"
"Rad18.1",0.00176061404871547,0.352837172990542,0.451,0.344,1,"1","Rad18"
"Alpk1.1",0.00176136487389991,0.912972923200744,0.109,0.058,1,"1","Alpk1"
"Reps1.1",0.00176290808891144,0.276003119011259,0.733,0.665,1,"1","Reps1"
"Agfg1.1",0.0017652200825068,0.194830284851794,0.805,0.731,1,"1","Agfg1"
"Tfdp1.1",0.00177507830903921,0.237258034678067,0.921,0.879,1,"1","Tfdp1"
"Cdk5rap1.1",0.0017793008288272,0.626000462710195,0.237,0.161,1,"1","Cdk5rap1"
"Glrx.1",0.0017852310182109,0.336835421289242,0.662,0.582,1,"1","Glrx"
"Tfe3.1",0.00179037860230195,0.287368437982242,0.602,0.487,1,"1","Tfe3"
"Spats2l.1",0.00179101304604079,-0.421637074843077,0.786,0.791,1,"1","Spats2l"
"Snap25.1",0.0017918341941931,1.18981312855957,0.06,0.025,1,"1","Snap25"
"Tbc1d4.1",0.00180246317834061,0.315506742022641,0.496,0.391,1,"1","Tbc1d4"
"Top1mt.1",0.00180317694299574,0.60241364239258,0.278,0.196,1,"1","Top1mt"
"Pcbp3.1",0.00180811858467822,0.35627427469831,0.451,0.347,1,"1","Pcbp3"
"Kiz.1",0.0018084366531872,-0.468724980837849,0.707,0.734,1,"1","Kiz"
"Efhd1.1",0.00181032766541753,0.104991695493673,0.477,0.35,1,"1","Efhd1"
"Arl2bp.1",0.00181467672530621,-0.161634697003151,0.985,0.991,1,"1","Arl2bp"
"Srebf2.1",0.00181524643002359,0.141274001427968,0.974,0.959,1,"1","Srebf2"
"A330069E16Rik.1",0.00182126839072274,0.702405937261086,0.139,0.08,1,"1","A330069E16Rik"
"Brd8.1",0.00182184111373583,0.226808988856693,0.846,0.778,1,"1","Brd8"
"Atp2b4.1",0.0018219744281549,-1.14944957733307,0.071,0.139,1,"1","Atp2b4"
"Depdc1b.1",0.00182625867540095,0.491024296737105,0.282,0.199,1,"1","Depdc1b"
"Gm47469.1",0.00183185714293493,1.09414268181068,0.083,0.04,1,"1","Gm47469"
"Nmd3.1",0.00183816809334876,0.207229569514847,0.891,0.833,1,"1","Nmd3"
"Umps.1",0.00183847730824511,0.200671772135364,0.786,0.703,1,"1","Umps"
"Jade2.1",0.0018412736152633,0.888927449234093,0.12,0.067,1,"1","Jade2"
"Dab2ip.1",0.00184187508833371,0.250842561957128,0.737,0.632,1,"1","Dab2ip"
"Xrcc2.1",0.00184258382577919,0.513547622956507,0.248,0.168,1,"1","Xrcc2"
"Parpbp.1",0.00184636856352518,0.60346408756745,0.222,0.147,1,"1","Parpbp"
"Gtf2h4.1",0.00184897085824897,0.270022424945312,0.741,0.637,1,"1","Gtf2h4"
"Abhd13.1",0.0018493608683726,0.364768972489706,0.538,0.458,1,"1","Abhd13"
"Klhl36.1",0.00185002283523728,0.445802619601778,0.316,0.229,1,"1","Klhl36"
"Aldh2.1",0.00185096406541436,0.172689833946048,0.985,0.957,1,"1","Aldh2"
"Mybl1.1",0.00185206396187112,0.311688117177655,0.579,0.481,1,"1","Mybl1"
"Gas2l3.1",0.00185461757440232,0.626604584049034,0.323,0.238,1,"1","Gas2l3"
"Cep170.1",0.00185473960772841,0.215680636712621,0.838,0.738,1,"1","Cep170"
"Mynn.1",0.00185667330416408,0.335184455367324,0.526,0.427,1,"1","Mynn"
"Cap2.1",0.00186197636320725,0.340394146935421,0.568,0.458,1,"1","Cap2"
"Mkl1.1",0.00186370973240308,0.401472584420609,0.323,0.23,1,"1","Mkl1"
"Eif2b4.1",0.00186869890409764,0.249837899631786,0.714,0.608,1,"1","Eif2b4"
"Zfp820.1",0.00186886911463495,-0.671989577520412,0.241,0.329,1,"1","Zfp820"
"Yipf2.1",0.00186976356700198,0.455765969677961,0.365,0.274,1,"1","Yipf2"
"Dpf2.1",0.0018728552836356,0.17484667326728,0.914,0.833,1,"1","Dpf2"
"Psmb5.1",0.00187652872942258,0.0732310771651044,1,1,1,"1","Psmb5"
"Pgrmc1.1",0.00188129507022439,0.129561333631417,0.974,0.955,1,"1","Pgrmc1"
"Hspbap1.1",0.00189313566071226,0.613412641341836,0.222,0.147,1,"1","Hspbap1"
"Kcnma1.1",0.00189378772740249,-1.02023998558805,0.086,0.158,1,"1","Kcnma1"
"Nde1.1",0.0019012188750447,0.31246957158381,0.85,0.804,1,"1","Nde1"
"Mrpl28.1",0.00190471795789809,-0.120411991052854,1,1,1,"1","Mrpl28"
"Hexim1.1",0.00190529774810869,0.208934562533028,0.744,0.63,1,"1","Hexim1"
"Sptbn1.1",0.00190544090559758,0.1443950442562,0.989,0.983,1,"1","Sptbn1"
"Exo1.1",0.00190664637011301,0.383439719592437,0.481,0.383,1,"1","Exo1"
"Alg9.1",0.00190755979740318,0.326637081070895,0.541,0.443,1,"1","Alg9"
"Arhgap39.1",0.00190929551434621,0.457293439424555,0.361,0.268,1,"1","Arhgap39"
"Cul4b.1",0.00191077600481028,0.256957125086148,0.628,0.523,1,"1","Cul4b"
"Cdc42ep2.1",0.00191458893408013,0.255659578254904,0.323,0.23,1,"1","Cdc42ep2"
"Tmc4.1",0.00191728329684334,-1.24050155746097,0.045,0.106,1,"1","Tmc4"
"Cacnb3.1",0.00192377567752342,0.379290927423282,0.496,0.399,1,"1","Cacnb3"
"Tube1.1",0.00193112116060419,0.479929635867584,0.278,0.195,1,"1","Tube1"
"Ap1ar.1",0.00193260597708109,0.312392461664719,0.624,0.536,1,"1","Ap1ar"
"Ezh2.1",0.00193702814093585,0.195361962480196,0.944,0.913,1,"1","Ezh2"
"Gm364.1",0.00193849058824246,3.45729343942456,0.011,0.001,1,"1","Gm364"
"Zfp369.1",0.00193940577908613,0.443656031500636,0.395,0.305,1,"1","Zfp369"
"Bnip3l.1",0.00194687063962517,-0.164041581484113,1,1,1,"1","Bnip3l"
"Efhc1.1",0.00194707778912601,3.13536534453719,0.011,0.001,1,"1","Efhc1"
"Ermn.1",0.00194707778912601,3.13536534453719,0.011,0.001,1,"1","Ermn"
"Patj.1",0.00194707778912601,3.13536534453719,0.011,0.001,1,"1","Patj"
"Gm42788.1",0.00194707778912601,3.13536534453719,0.011,0.001,1,"1","Gm42788"
"H60b.1",0.00194707778912601,3.13536534453719,0.011,0.001,1,"1","H60b"
"Glg1.1",0.00194758888474116,-0.176867959732178,0.974,0.98,1,"1","Glg1"
"Jun.1",0.00195638402386268,0.147120367597383,0.97,0.966,1,"1","Jun"
"Lmtk2.1",0.00197368209914482,0.572097914915355,0.233,0.157,1,"1","Lmtk2"
"Xpnpep3.1",0.0019754864925606,0.454433785285314,0.368,0.279,1,"1","Xpnpep3"
"E2f6.1",0.00197969189540916,0.318965282876581,0.553,0.444,1,"1","E2f6"
"Taf1b.1",0.00198125772374098,0.299260748541264,0.538,0.431,1,"1","Taf1b"
"Srp54a.1",0.00198281986854478,0.423490731333816,0.361,0.265,1,"1","Srp54a"
"Washc5.1",0.0019841149531012,0.261721331042106,0.722,0.613,1,"1","Washc5"
"Mfsd8.1",0.00199441405889682,0.554862492006736,0.244,0.167,1,"1","Mfsd8"
"Btbd2.1",0.00199499292017735,0.207066809891381,0.865,0.78,1,"1","Btbd2"
"Sfrp2.1",0.00199828283226662,0.479556894607046,0.331,0.244,1,"1","Sfrp2"
"Fut9.1",0.0020068716750139,-0.455829109895478,0.541,0.592,1,"1","Fut9"
"Tmem43.1",0.00201149765385948,0.393279265702385,0.538,0.45,1,"1","Tmem43"
"Atm.1",0.00201888577570955,0.255342815702113,0.492,0.375,1,"1","Atm"
"Mat2b.1",0.00203443485722047,0.190900021500846,0.925,0.865,1,"1","Mat2b"
"Suclg2.1",0.00203809119995345,0.193545259665003,0.932,0.913,1,"1","Suclg2"
"Tmem98.1",0.0020384123107708,-0.333655676478158,0.602,0.665,1,"1","Tmem98"
"Smoc2.1",0.00203938721528316,2.72032784525835,0.015,0.002,1,"1","Smoc2"
"Lin9.1",0.00204740089887903,0.405073756294295,0.38,0.285,1,"1","Lin9"
