"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zbtb7c",1.59291649688353e-19,1.05390311803705,0.592,0.392,2.52031248136912e-15
"Gjc1",1.72189208414813e-19,-0.677598594547813,0.481,0.708,2.72437765553916e-15
"Ppp1r1a",1.7967125396755e-19,0.995970199962292,0.626,0.433,2.84275858027458e-15
"Rps17",2.25399694615603e-19,-0.13680449177551,1,1,3.56627396820807e-15
"Ndufs6",2.74012487353291e-19,0.228996190430345,1,1,4.33542557490378e-15
"Syt11",2.92436112832609e-19,0.491959603826918,0.986,0.958,4.62692417723754e-15
"Fibp",3.34917170310047e-19,0.377269973520658,0.987,0.972,5.29905946864556e-15
"Ier5",3.43911882966765e-19,-0.885032638603152,0.441,0.64,5.44137381230015e-15
"Loxl1",3.6301302248025e-19,-2.13760781747086,0.03,0.137,5.74359204168251e-15
"Ak2",4.33581532019248e-19,-0.395361704225127,0.964,0.98,6.86012699960854e-15
"Pnrc1",4.79520897940327e-19,0.506235878003132,0.927,0.813,7.58697964721185e-15
"Tle1",5.25352288622484e-19,-0.932015942732523,0.464,0.644,8.31212391058493e-15
"Rabac1",5.66474937765528e-19,0.324597654052618,0.995,0.99,8.96276646532618e-15
"Hip1",5.69184385881427e-19,0.327700634076448,0.999,0.998,9.00563535341595e-15
"Tspan3",6.1629234535852e-19,0.192057741476555,1,1,9.7509774882625e-15
"Cntn1",6.44635797354091e-19,1.57648331044276,0.446,0.249,1.01994275857364e-14
"Tenm4",6.46140097292805e-19,-1.67969562503076,0.082,0.229,1.02232286193668e-14
"Dennd5a",6.97374957096056e-19,0.409486630818097,0.988,0.968,1.10338665711738e-14
"Mical1",7.28648677503065e-19,2.50933819935926,0.212,0.042,1.15286793754535e-14
"Sipa1l2",7.69061196842381e-19,0.880476925221299,0.715,0.575,1.21680862564402e-14
"Klf9",7.83124455109131e-19,0.649215888003728,0.89,0.755,1.23905951287367e-14
"Rpl30",8.34140591693907e-19,-0.129428000968972,1,1,1.3197772441781e-14
"Fzd4",8.49349455468946e-19,-1.00153730900269,0.319,0.513,1.34384070844297e-14
"Atp8a1",8.70178791728744e-19,0.895204796676239,0.677,0.501,1.37679688427322e-14
"Mfsd2a",8.74159264469767e-19,-2.26025987813363,0.065,0.197,1.38309478824407e-14
"Nmral1",9.0608435076288e-19,-0.675604416027685,0.575,0.781,1.43360665977703e-14
"Pdlim7",1.15462297366708e-18,0.460184876468377,0.973,0.928,1.82684446893606e-14
"Psma7",1.20149211231864e-18,-0.189184634207003,1,1,1.90100082011055e-14
"Rhobtb1",1.25997145283167e-18,-1.55391978241641,0.092,0.243,1.99352683267026e-14
"Ndufa4",1.32038972518861e-18,0.151432067516302,1,1,2.08912062319342e-14
"Tdrkh",1.63860738464662e-18,-0.469929651125399,0.801,0.917,2.59260460398789e-14
"Txnl1",1.81947724337012e-18,-0.222277894421005,1,1,2.8787768944602e-14
"Wnt7b",1.84658630345173e-18,-0.936436650799152,0.278,0.483,2.92166884932132e-14
"Map4k4",2.25470016946032e-18,0.308451268074728,1,0.998,3.56738660812012e-14
"C330018D20Rik",2.36806207639363e-18,6.35672778321911,0.137,0,3.74674781727001e-14
"C1ql1",2.56988282721385e-18,-1.49210377481465,0.099,0.25,4.06606860921775e-14
"Fam49a",2.65930835643487e-18,0.864123988684872,0.637,0.445,4.20755768155125e-14
"Slitrk1",2.66815947757727e-18,-2.03909842533679,0.035,0.143,4.22156192542276e-14
"Srsf3",3.06570622021028e-18,-0.274509010420514,1,1,4.8505603816167e-14
"Rpl29",3.38735541863151e-18,-0.167367735404522,1,1,5.35947374335877e-14
